base	number	description	note	description_fin	note_fin	link_original	link_wordnet	backtrack	synset_id	import_id
eurooppalaistaa	1	Europeanize, change more European	(tags: model:europeanize.01)	Eurooppalaistaa, muuttaa enemmän eurooppalaiseksi	NULL	europeanize.01	NULL	NULL	NULL	NULL
eurooppalaistua	1	Become europeanized	Note: not in sync with europeanize.01, no arg0 in Finnish	Tulla eurooppalaiseksi	Huom! Ei synkr. europeanize.01:n kanssa, suomessa ei arg0:aa	none.01	NULL	NULL	NULL	NULL
evakuoida	1	Evacuate	tags:model:evacuate.01	Evakuoida	NULL	NULL	NULL	NULL	NULL	NULL
evankelioida	1	Evangelize	Not in Propbank	Evankelioida, julistaa evankeliumia	NULL	none.01	NULL	NULL	NULL	NULL
evätä	1	Deny, refuse	(tags: model:deny.01)	Evätä, kieltää	NULL	deny.01	NULL	NULL	NULL	NULL
grillata	1	Grill, cook on open fire	tags:model:grill.01	Grillata, valmistaa ruokaa tulisilla hiilillä	NULL	NULL	NULL	NULL	NULL	NULL
haarautua	1	Branch, diverge	Not in sync with branch.01 nor diverge.01, arg1 in Finnish, not arg0	Haarautua, jakautua haaroihin	Ei synkr. branch.01:n eikä diverge.01:n kanssa, suomessa arg1 eikä arg0	none.01	NULL	NULL	NULL	NULL
haastaa	1	Sue	tags (phrasal, model:sue.01, seed:nostaa)	Nostaa kanne, haastaa oikeuteen	NULL	sue.01	NULL	NULL	02465999	47a97e6
haastaa	2	Challenge	(tags: model:challenge.01)	Haastaa, kyseenalaistaa, kutsua kilpailemaan	NULL	challenge.01	NULL	NULL	NULL	NULL
haastatella	1	Conduct an interveiw, discuss formally for evaluation	(tags:model:interview.01)	Haastatella, tehdä haastattelu	NULL	interview.01	NULL	NULL	00774882, 00775275	4706607
haaveilla	1	Dream, fantasize	(tags: model:dream.01)	Haaveilla, unelmoida	NULL	dream.01	NULL	NULL	NULL	NULL
haavoittua	1	Be wounded	NULL	Haavoittua	NULL	NULL	NULL	NULL	NULL	NULL
hahmottaa	1	Describe	(tags: model:describe.01)	Kuvata, kuvailla	NULL	conceive.01	NULL	NULL	00913821, 00942050	21ed8ff
haihtua	1	Disappear, get lost, become less intense	(tags:model:disappear.01, seed:kadota)	Hävitä, kadota, muuttua vähemmän intensiiviseksi	NULL	disappear.01	NULL	NULL	00413416	3853eb6
haikailla	1	Long for something	(tags: model:long.01)	Haikailla, kaivata	NULL	long.01	NULL	NULL	NULL	NULL
haista	1	Smell, emit an odor	(tags: model:smell.02)	Tuottaa tuoksu	NULL	smell.02	NULL	NULL	02031416	a72f8b
haistaa	1	Smell, notice an odor	(tags: model:smell.01)	Haistaa	NULL	smell.01	NULL	NULL	NULL	NULL
haistattaa	1	Tell somebody where to get off	tags:phrasal	Haistattaa pitkät	NULL	NULL	NULL	NULL	NULL	NULL
haistella	1	Smell, notice an odor	(tags: model:smell.01)	Haistaa, haistella	NULL	smell.01	NULL	NULL	NULL	NULL
haitata	1	Cause trouble or inconvenience, put at a disadvantage	(tags: trouble.01)	Aiheuttaa vaivaa tai hankaluuksia, saattaa epäedulliseen asemaan	NULL	trouble.01	NULL	NULL	02401931, 01036651	1036a9e
hajaantua	1	Disperse	NULL	Hajaantua	NULL	NULL	NULL	NULL	NULL	NULL
hajasijoittaa	1	Decentralise	NULL	Hajasijoittaa	NULL	NULL	NULL	NULL	NULL	NULL
hajauttaa	1	Decentralize	NULL	Hajauttaa	NULL	NULL	NULL	NULL	NULL	NULL
hajota	1	Disintegrate	Note: Not in sync with disintegrate.01, no arg0 in Finnish	Hajota	Huom! Ei synkr. disintegrate.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
hajottaa	1	Destroy, ruin utterly	(tags: seed:tuhota, model:destroy.01)	Turmella, tärvellä, hajottaa täysin	NULL	NULL	NULL	NULL	02445370, 01501987	40d853b
hakata	1	Strike, beat	(tags: seed:lyödä, model:hit.01)	Lyödä, kumauttaa, rummuttaa	(tags: seed:lyödä, model:hit.01)	beat.01	NULL	NULL	01323437, 01778250	5c46ab2
hakea	1	Search, look for something	(model:look.05, seed:etsiä)	Etsiä jotain	NULL	NULL	NULL	NULL	0211998, 01893645	51e0e02
hakea	2	Apply for something	NULL	Hakea, tehdä hakemus	NULL	NULL	NULL	NULL	00723453	47ee95b
hakea	3	Fetch	Not in sync with bring.01, at least arg3 doesn't work in Finnish (seed:hakea)	Hakea, noutaa	Ei synkr. bring.01:n kanssa, ainakaan arg3 ei toimi suomessa	NULL	NULL	NULL	02151419	15f6ec6
hakeutua	1	Gravitate, find one's way	(tags: model:gravitate.01)	Hakeutua, pyrkiä johonkin	NULL	gravitate.01	NULL	NULL	NULL	NULL
halailla	1	Give someone a hug, to hug someone	NULL	Halata jotakuta	NULL	hug.01	NULL	2330	NULL	NULL
halata	1	Give someone a hug, to hug someone	NULL	Halata jotakuta	NULL	NULL	NULL	NULL	NULL	NULL
haljeta	1	Split	NULL	hajota palasiksi	NULL	NULL	NULL	NULL	NULL	NULL
halkaista	1	split	NULL	jakaa joku kahtia tai useampaan osaan	NULL	split.01	NULL	NULL	NULL	NULL
halkoa	1	Intersect, traverse	Note: not in sync with intersect.01 or traverse.01, no arg0 in Finnish	Halkoa, kulkea läpi, lävistää	Huom! ei synkr. intersect.01:n eikä traverse.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
hallinnoida	1	Control, administer, govern	(tags: model:control.01)	Hallita, pitää kurissa	NULL	none.01	NULL	991	NULL	NULL
hallita	1	Control, administer, govern	(tags: model:control.01)	Hallita, pitää kurissa	NULL	control.01	NULL	NULL	02443987, 02501860	258905e
haluta	1	Want, desire	(tags: model:want.01, seed:mieliä)	Haluta, tahtoa	NULL	NULL	NULL	NULL	01746388	3ccb2df
halvaannuttaa	1	Paralyze, make powerless	(tags: model:paralyze.01)	Halvaannuttaa, tehdä voimattomaksi	NULL	paralyze.01	NULL	NULL	NULL	NULL
halvaantua	1	Be paralyzed	Note: not in sync with paralyze.01, no arg0 in Finnish	Halvaantua	Huom! ei synkr. paralyze.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
halveksia	1	Despise, disdain, consider worthless	(tags: model:despise.01)	Halveksia, pitää arvottomana	NULL	despise.01	NULL	NULL	NULL	NULL
halventua	1	Become cheaper	NULL	Halventua	NULL	NULL	NULL	NULL	NULL	NULL
hankaloittaa	1	Cause trouble or inconvenience, put at a disadvantage	(tags: trouble.01)	Aiheuttaa vaivaa tai hankaluuksia, saattaa epäedulliseen asemaan	NULL	NULL	NULL	NULL	02401931, 01036651	1036a9e
hankaloitua	1	Become more difficult	NULL	Vaikeutua	NULL	NULL	NULL	2762	NULL	NULL
hankkia	1	Acquire something	(tags: model:acquire.01)	Hankkia	NULL	NULL	NULL	NULL	02193994	a4d762
hankkiutua	1	Dispose of	tags:phrasal	Hankkiutua eroon	NULL	NULL	NULL	NULL	NULL	NULL
hankkiutua	2	Get oneself into	NULL	Hankkiutua	NULL	NULL	NULL	NULL	NULL	NULL
haparoida	1	Search, look for something	(model:look.05, seed:etsiä)	Etsiä jotain	NULL	NULL	NULL	2568	NULL	NULL
hapata	1	Become sour	NULL	Hapata, hapantua	NULL	NULL	NULL	NULL	NULL	NULL
hapertua	1	Become fragile	NULL	Hapertua	NULL	NULL	NULL	NULL	NULL	NULL
hapuilla	1	Search, look for something	(model:look.05, seed:etsiä)	Etsiä jotain	NULL	NULL	NULL	891	NULL	NULL
haravoida	1	Brush	tags:model:brush.01	Harjata	NULL	NULL	NULL	2331	NULL	NULL
harhailla	1	Stray, wander being lost	NULL	Harhailla	NULL	NULL	NULL	NULL	NULL	NULL
harhauttaa	1	Mislead, almost-lie	(tags: model:mislead.01)	Erehdyttää, johtaa harhaan	NULL	NULL	NULL	3531	NULL	NULL
harjata	1	Brush	tags:model:brush.01	Harjata	NULL	NULL	NULL	NULL	NULL	NULL
harjoitella	1	Practice	(tags: model:practice.01)	Harjoitella	NULL	NULL	NULL	NULL	NULL	NULL
harjoittaa	1	Practise	(tags: model:practise.01)	Harjoittaa, pitää yllä esim. taitoa tai elinkeinoa	NULL	practise.01	NULL	NULL	NULL	NULL
harkita	1	Think something, ponder	(tags: seed:miettiä, model:ponder.01)	Ajatella jotain, tuumailla		NULL	NULL	851	NULL	1ecd736
harmistua	1	Annoy, bother	Note: Not in sync with annoy.01 or bother.01, no arg0 in Finnish\t	Harmittaa	Huom! Ei synkr. annoy.01 eikä bother.01:n kanssa, suomessa ei arg0:a.	NULL	NULL	2317	NULL	NULL
harmitella	1	Regret	(tags: model:regret.01)	Katua, tuntea katumusta	NULL	NULL	NULL	2014	NULL	NULL
harmittaa	1	Annoy, bother	Note: Not in sync with annoy.01 or bother.01, no arg0 in Finnish\t	Harmittaa	Huom! Ei synkr. annoy.01 eikä bother.01:n kanssa, suomessa ei arg0:a.	NULL	NULL	NULL	NULL	NULL
harrastaa	1	do something or have sex with	NULL	Tehdä jotakin huvin, nautinnon tai kunnon vuoksi	NULL	NULL	NULL	NULL	NULL	NULL
harvinaistua	1	Become rarer, rarify	Note: not in sync with rarify.01, no arg0 in Finnish	Harvinaistua	Huom! Ei synkr. rarify.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
haudata	1	Bury	tags:model:bury.01	Haudata	NULL	NULL	NULL	NULL	NULL	NULL
hauduttaa	1	Stew, cook for a long time	(tags: model: stew.01)	Hauduttaa, kypsentää kauan aikaa	NULL	stew.01	NULL	NULL	NULL	NULL
haukata	1	Bite, also take a piece of something	(tags: model:bite.01)	Haukata, puraista, myös ottaa pala jostakin	NULL	none.01	NULL	NULL	NULL	NULL
haukkua	1	Call names	(tags: model:call.01)	Haukkua, nimitellä	NULL	none.01	NULL	NULL	NULL	NULL
hauskuuttaa	1	Cause amusement	Note: not in sync with amuse.01, no instrument in Finnish	Aiheuttaa huvia	Huom! Ei synkr. amuse.01, ei välinettä suomessa	NULL	NULL	2871	NULL	NULL
hautoa	1	Hatch, incubate	(tags: model:hatch.01)	Hautoa	NULL	hatch.01	NULL	NULL	NULL	NULL
hautua	1	Brew, simmer	NULL	Hautua	NULL	NULL	NULL	NULL	NULL	NULL
havahtua	1	Wake up, get up, become awake	Note: Not in sync with wake.01 or wake.02, no arg0 in Finnish (tags: seed:herätä)	Herätä unesta, nousta ylös, tulla tietoiseksi	Huom! Ei synkr. wake.01 tai wake.02 kanssa, Suomessa ei arg0:a (tags: seed:herätä)	none.01	NULL	NULL	00022680, 00022154	a8b8d9
havainnoida	1	Observe, look at	(tags: model:observe.01)	Havainnoida, tehdä havaintoja	NULL	observe.01	NULL	NULL	NULL	NULL
havainnollistaa	1	Demonstrate, illustrate	tags:model:illustrate.01	Havainnollistaa	NULL	NULL	NULL	NULL	NULL	NULL
havaita	1	Notice something	(tags:model:notice.01)	Havaita, huomata jotain	NULL	NULL	NULL	NULL	02060396	f54e26
havista	1	Rustle, emit a rustling noise	(model: tags:rustle.01)	Havista, pitää havisevaa ääntä	NULL	rustle.01	NULL	NULL	NULL	NULL
hedelmöittyä	1	Conceive	NULL	Hedelmöittyä	NULL	NULL	NULL	NULL	NULL	NULL
hedelmöityä	1	Conceive	NULL	Hedelmöittyä, hedelmöityä	NULL	NULL	NULL	3395	NULL	NULL
hehkua	1	Illuminate, shine	(tags: model:shine.01, seed:kuultaa)	Valaista, loistaa (valoa)		none.01	NULL	NULL	02045743	34928a8
hehkuttaa	1	Be enthusiastic with something	Note: Not in sync with enthuse.01 or enthuse.02, different definition of args 0 and 1, no arg2 in Finnish	Intoilla, hehkuttaa	Huom! Ei synkr. enthuse.01:n eikä enthuse.02:n kanssa, erilaiset arg:t0 ja 1 suomessa, suomessa ei myöskään arg2:a	NULL	NULL	NULL	NULL	NULL
heijastaa	1	Reflect	Also abstract usage (tags: model:reflect.01)	Kuvastaa, heijastaa	Myös abstrakti käyttö	NULL	NULL	1974	NULL	NULL
heijastua	1	Reflect	Note:model:reflect.01	Heijastua	NULL	NULL	NULL	NULL	NULL	NULL
heikentyä	1	Weaken	Note: not in sync with weaken.01, no arg0 in Finnish	Heikentyä	Huom! Ei synkr. weaken.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
heikentää	1	Reduce, diminish	(tags: model:reduce.01, seed:vähentää)	Vähentää, pienentää	(tags: model:reduce.01, seed:vähentää)	NULL	NULL	144	NULL	NULL
heiketä	1	Become weaker, weaken	Note: Not in sync with weaken.01, no arg0 in Finnish	Heiketä, heikentyä	Huom! Ei synkr. weaken.01 kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
heilahdella	1	Swing, be in swinging motion	(tags: model:swing.01) Not sure why orig. PB has three framesets for supposedly the same swinging, but the first one fits the only example in TDT	Heilahdella, olla heiluvassa liikkeessä	Ei varmaa, miksi alkup. PB:ssä on kolme merkitystä ilmeisesti aivan samalle heilumiselle, mutta ensimmäinen sopii TDT:n ainoaan esimerkkiin	swing.01	NULL	NULL	NULL	NULL
heilahtaa	1	Swing	NULL	Heilahtaa, heilua	NULL	NULL	NULL	NULL	NULL	NULL
heilauttaa	1	Wave	Note: Not in sync with wave.01 or wave.02, no arg2 in Finnish	Heiluttaa	Huom! Ei synkr. wave.01 eikä wave.02:n kanssa, suomessa ei arg2:a	NULL	NULL	2440	NULL	NULL
heilauttaa	2	Undermine	NULL	Horjuttaa, heilauttaa	NULL	NULL	NULL	NULL	NULL	NULL
heilua	1	swing	NULL	liikkua edestakaisin	NULL	swing.01	NULL	NULL	NULL	NULL
heilutella	1	Wave	Note: Not in sync with wave.01 or wave.02, no arg2 in Finnish	Heiluttaa	Huom! Ei synkr. wave.01 eikä wave.02:n kanssa, suomessa ei arg2:a	NULL	NULL	NULL	NULL	NULL
heitellä	1	Throw, pass an object somewhere	Note: also when in the meaning "to give", "to give a ride", figurative ("heitätkö sen kynän mulle", "heitätkö mut lentokentälle")(tags: model: throw.01, seed:heittää)	Heittää asia jonnekin	Huom! Myös merkityksessä "antaa", "antaa kyyti", kuvainnollinen ("heitätkö sen kynän mulle", "heitätkö mut lentokentälle")	NULL	NULL	861	NULL	NULL
heittäytyä	1	Throw oneself into	NULL	Heittäytyä johonkin / joksikin	NULL	NULL	NULL	NULL	NULL	NULL
heittää	1	Throw, pass an object somewhere	Note: also when in the meaning "to give", "to give a ride", figurative ("heitätkö sen kynän mulle", "heitätkö mut lentokentälle")(tags: model: throw.01, seed:heittää)	Heittää asia jonnekin	Huom! Myös merkityksessä "antaa", "antaa kyyti", kuvainnollinen ("heitätkö sen kynän mulle", "heitätkö mut lentokentälle")	throw.01	NULL	NULL	01433540, 01428441	546ec8
heittää	2	Say	(tags: model:say.01)	Sanoa	NULL	none.01	NULL	NULL	NULL	638375
heittää	3	To be off	NULL	Olla pielessä	NULL	NULL	NULL	NULL	NULL	NULL
helistä	1	Rattle	NULL	Kilistä	NULL	NULL	NULL	2827	NULL	NULL
hellitellä	1	Cherish, caress	NULL	Helliä	NULL	NULL	NULL	2796	NULL	NULL
hellittää	1	Slacken, slow down	VVB (tags: model:slacken.01)	Hellittää, aiheuttaa väheneminen	VVB	slacken.01	NULL	NULL	NULL	NULL
helliä	1	Cherish, caress	NULL	Helliä	NULL	NULL	NULL	NULL	NULL	NULL
helpottaa	1	help, aid, ameliorate	NULL	lieventää, tehdä helpommaksi	NULL	ease.02	NULL	NULL	NULL	NULL
helpottua	1	Become easier	NULL	Helpottua	NULL	NULL	NULL	NULL	NULL	NULL
hemmotella	1	Pamper	tags:model:pamper.01	Hemmotella	NULL	NULL	NULL	NULL	NULL	NULL
hengata	1	Hang out, socialize	NULL	Hengailla, viettää aikaa yhdessä	NULL	NULL	NULL	NULL	NULL	NULL
hengittää	1	Breathe		hengittää	NULL	breathe.01	NULL	NULL	NULL	NULL
henkäistä	1	Scream, speak very loudly	(tags: model:scream.01)	Huutaa, puhua kovaäänisesti	NULL	NULL	NULL	3173	NULL	NULL
herjetä	1	Begin, start	Note: arg0 and arg1 are mutually exclusive (tags: VVB)	Alkaa, ruveta	Huom! arg0 ja arg1 ovat toisensa poissulkevat	NULL	NULL	1720	NULL	NULL
herkutella	1	Enjoy food, feast on	Also figurative (tags: model:feast.01)	Herkutella, nauttia ruoasta	Myös kuvainnoillinen	feast.01	NULL	NULL	NULL	NULL
hermostua	1	Get anxious about something		Hermostua		NULL	NULL	NULL	NULL	NULL
hermostuttaa	1	Get anxious about something		Hermostua		NULL	NULL	2335	NULL	NULL
hermottaa	1	Innervate	NULL	Hermottaa	NULL	NULL	NULL	NULL	NULL	NULL
heräillä	1	Wake up, get up, become awake	Note: Not in sync with wake.01 or wake.02, no arg0 in Finnish (tags: seed:herätä)	Herätä unesta, nousta ylös, tulla tietoiseksi	Huom! Ei synkr. wake.01 tai wake.02 kanssa, Suomessa ei arg0:a (tags: seed:herätä)	NULL	NULL	218	NULL	NULL
herätellä	1	Awaken	Note: not in sync with awaken.01: no arg2 in Finnish	Herättää	Huom! Ei synkr. awaken.01:n kanssa, ei arg2:a suomessa	NULL	NULL	2117	NULL	NULL
herättää	1	Awaken	Note: not in sync with awaken.01: no arg2 in Finnish	Herättää	Huom! Ei synkr. awaken.01:n kanssa, ei arg2:a suomessa	none.01	NULL	NULL	00019374	3ef2bec
herättää	2	Arouse feelings	NULL	Aiheuttaa tunteita	NULL	none.01	NULL	NULL	01696657	4f519f
herätä	1	Wake up, get up, become awake	Note: Not in sync with wake.01 or wake.02, no arg0 in Finnish (tags: seed:herätä)	Herätä unesta, nousta ylös, tulla tietoiseksi	Huom! Ei synkr. wake.01 tai wake.02 kanssa, Suomessa ei arg0:a (tags: seed:herätä)	none.01	NULL	NULL	00022680, 00022154	a8b8d9
hetkauttaa	1	Jerk, pull with sudden movement	Literal or figurative (tags: model:jerk.01)	Hetkauttaa, liikuttaa äkisti	Kirjaimellinen tai kuvainnollinen	jerk.01	NULL	NULL	NULL	NULL
hidastaa	1	Slow something (down)	(tags: model:slow.01)	Tehdä jokin hitaammaksi	NULL	NULL	NULL	NULL	00426707,00426145	3d6296d
hidastella	1	Slow something (down)	(tags: model:slow.01)	Tehdä jokin hitaammaksi	NULL	NULL	NULL	1965	NULL	NULL
hidastua	1	Slow down, become slower		Hidastua, tulla hitaammaksi	NULL	none.01	NULL	NULL	NULL	NULL
hienontaa	1	Grind, crush (into something smaller)	(tags: seed:jauhaa, model:grind.01)	Jauhaa, pienentää	NULL	grind.01	NULL	NULL	00317009	523ab32
hieroa	1	Rub, massage	(tags: model:massage.01)	Hieroa	NULL	massage.01	NULL	NULL	NULL	NULL
hiertää	1	Rub	NULL	Hiertää, hangata	NULL	none.01	NULL	NULL	NULL	NULL
hiihtää	1	Ski	NULL	Hiihtää	NULL	NULL	NULL	NULL	NULL	NULL
hiiltyä	1	Be charred, burn into coal	Note: not in sync with char.01, no arg0 in Finnish	Hiiltyä, palaa hiileksi	Huom! Ei synkr. char.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	NULL	NULL
hiipiä	1	Creep, sneak	tags:model:creep.01	Hiipiä		NULL	NULL	NULL	NULL	NULL
hiipua	1	Wane, fade	tags:model:wane.01	Hiipua	NULL	NULL	NULL	NULL	NULL	NULL
hiiskua	1	Say something, usually in a negative context	(tags: seed:sanoa) Note: Not in sync with say.01, no arg3 in Finnish	Sanoa jotakin, yleensä negatiivisessa kontekstissa	Huom. Ei synkr. say.01:n kanssa, suomessa ei arg3:a	none.01	NULL	1680	NULL	NULL
hiljentää	1	Muffle	NULL	Hiljentää ääntä	NULL	NULL	NULL	NULL	NULL	NULL
hiljentää	2	Slow down, slacken	NULL	Hiljentää vauhtia	NULL	NULL	NULL	NULL	NULL	NULL
hiljetä	1	become quiet	NULL	ääni vähenee olemattomiin	NULL	NULL	NULL	NULL	NULL	NULL
hillitä	1	contain, control	NULL	tukahduttaa, rauhoittaa käytöstä	NULL	NULL	NULL	NULL	NULL	NULL
himoita	1	lust	NULL	haluta epätoivoisesti jotakin samalla kohdetta jumaloiden	NULL	lust.01	NULL	NULL	NULL	NULL
hinkata	1	Repeat, improve	NULL	Hinkata, toistaa, kehittää	NULL	none.01	NULL	NULL	NULL	NULL
hioa	1	Sand, make smooth	(tags: model:sand.01)	Hioa, siloittaa hankaamalla	NULL	sand.01	NULL	NULL	NULL	NULL
hipelöidä	1	Touch, concrete or abstract sense	(tags: model:touch.01, seed:koskea)	Koskettaa, konkreettisesti tai abstraktisti	NULL	NULL	NULL	773	NULL	NULL
hipoa	1	come close to	NULL	lähestyä jotakin (melkein kiinni)	NULL	NULL	NULL	NULL	NULL	NULL
hirttäytyä	1	Hang oneself, commit suicide by hanging	NULL	Hirttäytyä, tehdä itsemurha hirttäytymällä	NULL	none.01	NULL	NULL	NULL	NULL
hirttää	1	Hang, kill by hanging	Note: not in sync with hang.01, the English is more general, and no arg2 in Finnish	Hirttää, tappaa hirttämällä	Huom! Ei synkr. hang.01:n kanssa, englanninkielinen yleisluontoisempi ja suomessa ei arg2:a	none.01	NULL	NULL	NULL	NULL
hirvitä	1	Dare	Not in sync with dare.01 (John dared Mary to kiss him)	Tehdä jotakin jollakin tavalla riskialtista	Ei synkr. dare.01:n kanssa (John dared Mary to kiss him)	NULL	NULL	1083	NULL	NULL
hivellä	1	Caress	NULL	Hivellä	NULL	NULL	NULL	NULL	NULL	NULL
hohkaa	1	Radiate	NULL	Hohkaa, hohkata	NULL	NULL	NULL	NULL	NULL	NULL
hohkata	1	Radiate	NULL	Hohkaa, hohkata	NULL	NULL	NULL	2687	NULL	NULL
hohtaa	1	Illuminate, shine	(tags: model:shine.01, seed:kuultaa)	Valaista, loistaa (valoa)		NULL	NULL	493	NULL	NULL
hoidella	1	Take care of something, tend	(tags: seed:huolehtia)	Pitää huolta jostakin	(tags: seed:huolehtia)	NULL	NULL	42	NULL	NULL
hoiperrella	1	Stagger	Note: Not in sync with stagger.01, arg0 in Finnish	Horjahdella, kävellä horjuen	Huom! Ei synkr. stagger.01:n kanssa, suomessa arg0	NULL	NULL	2979	NULL	NULL
hoitaa	1	Take care of something, tend	(tags: seed:huolehtia)	Pitää huolta jostakin	(tags: seed:huolehtia)	tend.01	NULL	NULL	02411157, 02306994	5daa699
hokea	1	Repeat, say again	(tags: model:repeat.01, seed:toistaa)	Toistaa, sanoa uudelleen	(tags: model:repeat.01, seed:toistaa)	NULL	NULL	338	NULL	NULL
hoksata	1	Understand, know something	(tags: seed:ymmärtää, model:understand.01)	Ymmärtää, tietää jotain	NULL	NULL	NULL	714	NULL	NULL
hommata	1	Get, acquire	NULL	Hommata, hankkia	NULL	none.01	NULL	NULL	NULL	NULL
horjahdella	1	Stagger	Note: Not in sync with stagger.01, arg0 in Finnish	Horjahdella, kävellä horjuen	Huom! Ei synkr. stagger.01:n kanssa, suomessa arg0	NULL	NULL	NULL	NULL	NULL
horjua	1	Stagger	Note: Not in sync with stagger.01, arg0 in Finnish	Horjahdella, kävellä horjuen	Huom! Ei synkr. stagger.01:n kanssa, suomessa arg0	NULL	NULL	2338	NULL	NULL
horjuttaa	1	Make something tremble	Literal or figurative (tags: model:shake.01)	Saada jokin horjumaan	Kirjaimellinen tai kuvainnollinen	shake.01	NULL	NULL	NULL	NULL
houkutella	1	Coax, persuade somebody to do something	NULL	Houkutella joku tekemään jotain	NULL	NULL	NULL	NULL	NULL	NULL
houkuttaa	1	Tempt, cause desire	NULL	Houkuttaa, saada aikaan haluaminen	NULL	none.01	NULL	NULL	NULL	NULL
huhuta	1	Rumour	tags:model:rumor.01	Huhuta, kertoa huhua	NULL	NULL	NULL	NULL	NULL	NULL
